"ID","age","color","island","college","income","antennae","politics","anxiety","depression","sociable","control","memory","intelligence","time1","time2","time3","food1","sleep","food2","reasoning_trials"
35,69,"Pink","3rd","D",20000,"Straight","Republicant",50,104,96,54,86,111,6.58,6.41,5.62,5,5.9,10,4
36,37,"Pink","2nd","D",161000,"Straight","Republicant",58,110,90,68,73,109,3.7,3.5,3.54,9,6.4,10,2
37,32,"Blue","3rd","A",109000,"Curly","Democrulite",55,104,94,65,93,103,7.38,6.75,7.59,12,4.7,11,1
38,64,"Pink","1st","B",23000,"Curly","Independone",53,112,85,70,78,96,5.28,5.04,4.02,7,6.8,11,5
39,23,"Pink","3rd","B",31000,"Straight","Independone",52,101,100,53,111,109,6.22,6.15,4.36,9,5.9,7,2
40,46,"Pink","3rd","C",1e+05,"Straight","Independone",54,114,81,45,96,114,5.89,5.37,6.18,10,5.8,8,2
41,25,"Pink","3rd","B",26000,"Straight","Independone",52,101,99,57,76,92,5.08,3.89,4.23,8,6.7,10,3
42,53,"Pink","2nd","A",30000,"Straight","Independone",51,101,99,62,101,106,8.42,8.05,8.71,10,5.4,12,2
43,60,"Pink","2nd","C",37000,"Straight","Democrulite",43,101,99,50,108,121,4.86,3.86,4.21,9,6.8,11,5
44,70,"Pink","3rd","A",26000,"Straight","Independone",47,108,97,59,81,95,7.01,7.37,5.57,8,6.3,10,1
45,30,"Pink","3rd","A",73000,"Straight","Independone",45,95,108,67,89,101,8.43,6.73,7.99,8,6.6,7,4
46,14,"Pink","3rd","D",113000,"Straight","Republicant",55,84,110,47,94,114,3.63,2.07,1.75,8,5.5,10,1
47,18,"Blue","1st","D",60000,"Curly","Republicant",52,105,92,56,96,117,5.04,5.4,5.29,7,6.6,9,3
48,22,"Pink","1st","A",34000,"Straight","Republicant",54,111,89,40,91,96,4.88,3.25,4.99,8,6.8,12,3
49,57,"Pink","1st","D",38000,"Straight","Republicant",52,106,91,53,94,115,4.5,4.04,3.06,9,6,7,1
50,42,"Blue","3rd","C",40000,"Straight","Democrulite",50,101,98,58,93,116,4.94,3.2,3.79,8,6.1,7,4
51,54,"Pink","1st","B",29000,"Straight","Republicant",49,106,94,46,84,94,12.62,13.11,12.87,9,5.2,10,10
52,50,"Pink","2nd","B",12000,"Straight","Democrulite",51,79,119,60,81,96,5.5,4.87,4.42,6,6.4,13,9
53,31,"Pink","1st","A",19000,"Straight","Republicant",47,100,100,65,79,96,5.55,4.73,3.68,12,5.2,12,1
54,44,"Pink","1st","D",23000,"Straight","Republicant",41,96,101,47,89,111,5.51,4.49,4.57,9,6.6,14,3
55,17,"Blue","2nd","D",89000,"Straight","Democrulite",55,101,99,71,85,115,5.91,4.42,6.16,7,5.3,7,2
56,61,"Pink","1st","C",32000,"Straight","Republicant",56,95,107,74,56,101,6.86,5.97,6.53,12,7.4,9,3
57,67,"Pink","1st","C",99000,"Straight","Republicant",47,96,103,66,100,121,5.41,3.95,5.38,12,6.6,9,2
58,33,"Blue","2nd","D",103000,"Straight","Republicant",53,103,95,54,96,117,5.66,5.86,4.66,8,6.4,4,3
59,49,"Blue","2nd","C",39000,"Straight","Independone",47,105,94,71,99,122,4.95,4.98,5.4,5,5.5,9,1
60,39,"Blue","3rd","A",81000,"Straight","Republicant",53,108,91,73,92,104,6.52,5.73,5,7,4.2,9,2
61,67,"Pink","3rd","B",323000,"Straight","Independone",48,96,105,43,68,85,6.56,5.7,5.87,7,5,7,7
62,35,"Pink","1st","A",18000,"Straight","Democrulite",47,106,92,60,89,100,5.36,4.57,4.44,11,6.3,8,3
63,18,"Blue","3rd","C",36000,"Straight","Independone",54,112,79,46,90,111,7.5,6.9,6.39,6,6.5,9,2
64,22,"Pink","2nd","A",107000,"Straight","Democrulite",57,115,72,67,83,98,8.18,7.54,7.78,8,6,8,2
65,28,"Blue","2nd","A",142000,"Curly","Democrulite",51,104,97,60,101,106,4.85,4.32,4.01,10,5,7,2
66,46,"Blue","2nd","A",35000,"Straight","Democrulite",48,90,111,44,92,97,6.24,6.55,6.72,8,5,8,1
67,15,"Pink","3rd","C",117000,"Straight","Democrulite",46,86,129,65,101,122,10.94,11.22,9.12,7,6.6,8,4
68,43,"Blue","3rd","A",45000,"Straight","Independone",57,101,99,60,118,114,5.99,4.66,6.21,8,5.3,10,2
69,18,"Pink","3rd","A",36000,"Straight","Republicant",44,89,120,56,102,105,6.21,6.12,6.47,7,7.4,4,1
70,28,"Blue","1st","D",23000,"Curly","Republicant",52,108,90,70,86,115,4.9,4.41,3.42,10,7.2,7,3
71,20,"Pink","1st","C",59000,"Curly","Independone",52,113,87,85,98,125,4.29,4.14,4.33,8,5.1,10,3
72,44,"Pink","3rd","A",99000,"Straight","Independone",60,106,93,62,105,108,7.31,6.91,5.56,9,6,7,1
73,26,"Blue","3rd","A",72000,"Straight","Independone",51,86,116,59,90,100,8.7,9.17,7.54,13,6.4,6,2
74,47,"Blue","1st","B",37000,"Straight","Republicant",45,87,122,74,80,98,9.53,8.67,8.11,10,5.4,7,11
75,11,"Blue","3rd","D",121000,"Curly","Democrulite",51,105,94,58,117,128,4.46,3.36,4.79,10,5.2,11,6
76,68,"Pink","1st","D",29000,"Straight","Republicant",51,109,90,47,76,105,10.87,10.94,9.28,11,6.6,12,2
77,29,"Pink","1st","A",28000,"Straight","Democrulite",54,108,90,54,99,103,5.25,5.39,4.3,12,6.1,9,2
78,45,"Pink","2nd","B",149000,"Straight","Democrulite",49,106,89,68,89,102,5.39,4.83,5.49,5,4.9,11,1
79,18,"Pink","1st","C",142000,"Curly","Republicant",46,98,101,55,94,116,5.48,5.26,5.68,10,5.7,13,4
80,14,"Pink","3rd","B",46000,"Straight","Independone",53,110,85,69,97,106,4.64,3.87,4.12,11,6.1,9,6
81,61,"Pink","2nd","C",19000,"Straight","Independone",48,81,111,50,92,113,6.01,5.78,5.69,8,6.4,7,1
82,57,"Pink","1st","B",176000,"Straight","Republicant",59,117,87,62,100,106,10.97,10.92,10.85,11,5.5,12,5
83,23,"Pink","1st","A",58000,"Straight","Democrulite",48,95,110,36,98,98,9.53,8.49,7.82,13,7.1,10,2
84,57,"Pink","3rd","B",37000,"Straight","Democrulite",42,78,122,72,76,96,4.65,3.51,4.91,4,5.1,9,7
85,60,"Pink","1st","B",53000,"Straight","Republicant",57,110,93,75,84,101,4.2,3.26,2.79,6,5.4,7,3
86,63,"Blue","3rd","A",42000,"Straight","Democrulite",58,103,97,54,74,90,5.75,5.35,6.14,7,7.2,9,3
87,54,"Pink","1st","D",217000,"Straight","Independone",47,90,116,51,110,123,4.38,4.01,3.93,12,6.1,8,2
88,27,"Pink","1st","B",43000,"Straight","Republicant",48,97,100,64,96,104,7.48,6.95,5.88,8,7.5,8,2
89,27,"Pink","1st","C",228000,"Straight","Republicant",59,115,84,48,102,118,6.31,6.38,4.8,7,6.7,12,5
90,50,"Pink","1st","B",22000,"Straight","Independone",45,96,100,63,75,93,9.2,7.51,7.9,10,6.7,7,3
91,60,"Pink","3rd","A",237000,"Straight","Independone",43,81,115,58,98,104,6.01,6.05,5.14,7,5.4,8,4
92,14,"Blue","3rd","A",119000,"Curly","Independone",54,116,97,68,96,105,4.09,3.23,2.7,7,5.2,6,1
93,10,"Pink","3rd","D",43000,"Straight","Independone",44,98,102,60,97,119,5.56,4.24,4.05,6,6.2,12,2
94,46,"Pink","2nd","A",33000,"Straight","Republicant",39,98,101,40,88,94,6.22,5.14,6.53,10,7.3,12,12
95,58,"Pink","2nd","C",39000,"Straight","Democrulite",55,102,97,55,82,110,8.34,8.44,8.19,9,5.3,6,2
96,37,"Pink","1st","C",55000,"Straight","Republicant",57,112,84,74,88,117,5.98,5.97,5.65,10,6.5,11,9
97,21,"Pink","1st","A",66000,"Curly","Democrulite",58,102,96,70,88,102,5.66,4.27,5.5,8,5.6,12,2
98,61,"Pink","2nd","B",31000,"Straight","Republicant",54,111,90,59,83,96,6.03,6.46,5.14,9,5.6,8,4
99,54,"Blue","2nd","B",41000,"Straight","Democrulite",50,98,102,57,92,100,7.11,6.77,6.29,5,5.4,5,6
100,19,"Blue","2nd","A",71000,"Curly","Democrulite",44,82,117,66,103,108,3.08,1.53,2.57,7,6,7,1
101,11,"Pink","3rd","C",24000,"Straight","Independone",48,104,95,59,98,119,5.09,5.38,4.26,8,6.8,7,5
102,31,"Pink","3rd","C",20000,"Straight","Independone",55,107,90,57,108,123,6.33,5.79,4.93,11,6.6,10,3
103,67,"Pink","3rd","B",117000,"Straight","Republicant",48,75,113,69,89,102,6.78,5.42,5.02,8,6.1,9,1
104,27,"Pink","3rd","A",47000,"Straight","Republicant",54,96,107,61,97,104,8.83,7.61,9.13,9,7.6,9,5
105,48,"Pink","2nd","D",23000,"Straight","Independone",47,110,86,64,92,117,5.81,6.25,5.83,11,5.5,5,1
106,24,"Pink","1st","B",63000,"Straight","Independone",50,103,97,67,86,100,6.9,6.95,6.58,11,5.5,8,6
107,16,"Pink","3rd","A",28000,"Curly","Republicant",46,93,105,53,88,97,4.25,3.97,2.39,7,6,10,2
108,13,"Pink","2nd","A",92000,"Straight","Democrulite",49,108,82,57,102,105,5.22,5.57,3.28,6,6.7,10,5
109,46,"Pink","3rd","B",89000,"Straight","Independone",53,110,97,57,97,103,5.78,5.21,4.91,14,4.4,8,3
110,62,"Pink","1st","C",85000,"Straight","Republicant",53,91,99,49,71,103,7.46,6.37,6.8,12,5.7,10,4
111,50,"Pink","1st","D",27000,"Straight","Democrulite",45,105,93,65,106,124,7.7,6.92,6.25,10,6.7,8,2
112,34,"Pink","1st","D",42000,"Curly","Democrulite",63,121,77,63,102,122,4.3,4.54,2.95,9,6,8,1
113,55,"Blue","3rd","D",56000,"Straight","Republicant",51,90,117,76,97,123,5.37,5.57,5.1,9,5.3,7,2
114,36,"Pink","2nd","B",48000,"Straight","Democrulite",45,91,111,65,99,106,4.91,3.05,3.82,9,5.8,8,1
115,39,"Pink","2nd","C",22000,"Straight","Democrulite",57,97,102,60,80,110,9.24,8.58,7.63,10,5.4,11,6
116,17,"Blue","2nd","D",140000,"Curly","Independone",53,96,106,44,93,113,8.78,7.79,7.11,7,6.4,6,1
117,57,"Pink","3rd","D",79000,"Straight","Democrulite",52,107,101,54,96,117,7.81,7.87,7.92,6,5.8,7,1
118,68,"Pink","3rd","A",39000,"Straight","Independone",53,99,101,57,75,92,9.28,7.51,8.71,8,6.5,10,3
119,50,"Pink","2nd","C",167000,"Straight","Democrulite",57,117,78,61,83,112,5.83,5.17,5.06,10,5.3,9,3
120,11,"Pink","1st","A",28000,"Straight","Independone",57,121,82,60,86,98,7.23,7.16,6.64,10,6.3,6,2
121,28,"Pink","2nd","A",78000,"Straight","Independone",53,113,73,71,98,107,5.9,5.56,5.65,10,6.9,5,2
122,19,"Pink","1st","D",28000,"Straight","Independone",57,108,90,52,93,115,4.98,5.01,5.12,10,5.6,9,4
123,20,"Pink","3rd","C",229000,"Straight","Independone",46,97,104,60,78,109,3.87,4.08,2.54,6,5.2,11,2
124,11,"Pink","1st","C",44000,"Curly","Republicant",51,89,111,76,85,117,6.68,5.05,4.69,9,7.5,8,6
125,22,"Pink","3rd","D",22000,"Straight","Independone",51,96,105,66,108,125,9.03,8.81,9.06,10,5.2,9,4
126,22,"Blue","1st","B",22000,"Straight","Independone",50,92,109,63,86,99,4.12,2.13,2.62,8,6.1,9,1
127,17,"Pink","1st","D",54000,"Straight","Republicant",43,95,104,63,97,119,3.9,4.04,2.73,11,6.1,13,5
128,38,"Pink","3rd","A",60000,"Straight","Independone",47,113,99,61,96,103,5.11,4.96,3.99,13,5.6,7,2
129,29,"Pink","2nd","B",22000,"Straight","Democrulite",58,104,97,84,110,116,6.2,5.53,5.32,7,5.7,6,1
130,12,"Pink","1st","D",90000,"Straight","Republicant",44,91,114,55,105,121,4.5,2.77,2.54,7,6,7,2
131,33,"Blue","1st","B",14000,"Curly","Republicant",49,90,109,52,92,99,5.39,5.4,5,9,5.5,9,1
132,38,"Pink","3rd","D",49000,"Straight","Independone",46,104,98,59,83,111,4.68,2.79,2.95,9,6.7,10,3
133,19,"Pink","1st","A",212000,"Straight","Republicant",47,86,121,68,108,111,4.58,3.33,3.46,11,5.4,11,2
134,19,"Pink","2nd","A",322000,"Straight","Independone",47,93,105,67,77,95,4.68,3.4,4.67,8,4.8,5,4
135,20,"Pink","2nd","B",83000,"Straight","Democrulite",49,90,112,71,114,115,15.18,14.04,13.72,11,6.4,5,1
136,57,"Pink","3rd","D",96000,"Straight","Independone",45,96,105,44,83,107,16.41,15.25,16.03,5,6,7,4
137,49,"Pink","1st","B",28000,"Straight","Republicant",48,82,119,69,99,107,12.37,12.86,12.5,9,6.4,11,1
138,54,"Pink","3rd","B",33000,"Straight","Independone",49,100,100,70,81,98,5.72,3.97,5.69,9,3.9,10,7
139,41,"Pink","2nd","A",27000,"Curly","Independone",50,105,94,79,88,104,8.4,7.21,8.51,7,5.7,6,2
140,66,"Blue","2nd","B",92000,"Curly","Republicant",55,98,102,55,98,103,7.67,7.91,6.18,8,7.2,7,1
141,60,"Pink","3rd","A",36000,"Straight","Independone",51,91,117,51,65,85,5.2,5.69,5.22,12,7.4,11,1
142,36,"Pink","3rd","A",27000,"Straight","Independone",45,85,128,59,87,98,9.03,8.23,7.27,10,4.2,8,1
143,23,"Pink","1st","A",25000,"Straight","Independone",51,101,99,46,103,103,4.32,3.85,3.33,11,4.8,7,2
144,31,"Pink","2nd","A",149000,"Straight","Democrulite",63,106,98,69,78,96,6.21,4.39,4.56,6,6.9,6,2
145,34,"Pink","1st","D",89000,"Straight","Republicant",47,74,127,56,101,119,4.64,4.99,3.17,8,7.3,11,1
146,59,"Blue","3rd","D",28000,"Straight","Independone",50,101,99,66,101,122,6.62,6.84,4.96,9,5.8,11,1
147,31,"Blue","1st","B",29000,"Straight","Democrulite",50,105,97,69,85,100,8.08,7.44,7.92,4,3.9,7,2
148,66,"Pink","1st","C",50000,"Straight","Republicant",46,92,107,59,88,114,7.21,5.97,5.96,7,7.2,11,6
149,62,"Pink","1st","C",39000,"Straight","Republicant",52,97,103,57,87,113,4.99,5.13,4.7,13,6.8,8,25
150,66,"Blue","1st","A",131000,"Straight","Republicant",43,93,101,49,89,97,5.74,4.64,5.68,12,7.3,8,3
151,33,"Pink","2nd","A",61000,"Straight","Republicant",48,103,99,64,90,101,6.93,6.26,5.58,9,6,4,4
152,15,"Pink","2nd","C",126000,"Straight","Independone",41,91,102,65,104,123,4.36,4.03,3.81,10,4.9,7,3
153,26,"Blue","3rd","B",86000,"Straight","Independone",46,85,106,73,106,111,7.89,7.31,6.71,9,5.2,5,1
154,26,"Pink","2nd","D",24000,"Straight","Democrulite",51,96,105,77,112,130,5.66,4.22,4.96,8,5.3,4,1
155,60,"Blue","1st","D",52000,"Straight","Republicant",52,110,89,51,82,109,12.69,12.21,10.9,5,5.8,7,1
156,32,"Pink","1st","B",64000,"Straight","Independone",53,103,99,62,102,106,8.42,8.56,7.02,9,6.7,8,5
157,42,"Blue","3rd","B",66000,"Straight","Independone",51,105,95,49,69,87,8.38,6.65,8.15,9,5.4,8,1
158,61,"Blue","3rd","D",61000,"Straight","Independone",48,110,90,49,82,108,5.18,3.41,3.22,6,7.6,5,7
159,31,"Pink","3rd","B",37000,"Straight","Independone",49,89,116,54,80,94,8.04,7.95,7.54,4,4.3,8,4
160,44,"Pink","2nd","A",49000,"Straight","Democrulite",56,105,92,54,98,102,5.25,4.94,5.27,8,5.3,7,3
161,49,"Blue","1st","D",69000,"Curly","Republicant",47,102,96,55,86,112,5.72,5.63,4.72,8,7.8,7,14
162,48,"Pink","3rd","C",71000,"Curly","Democrulite",51,90,104,62,106,123,6.69,5.39,5.11,9,3.8,7,1
163,41,"Pink","2nd","B",115000,"Straight","Democrulite",53,112,88,66,96,104,8.28,6.44,7.31,11,5.6,8,5
164,42,"Blue","1st","D",44000,"Straight","Republicant",47,97,100,70,110,127,11.77,12.04,10.46,9,6.9,7,1
165,41,"Pink","2nd","B",23000,"Straight","Republicant",52,114,87,51,94,100,5.54,5.1,4.06,9,6.6,8,2
166,36,"Pink","3rd","A",50000,"Curly","Independone",57,106,96,47,89,96,9.68,10.02,8.1,11,5.4,8,3
167,19,"Pink","1st","A",33000,"Straight","Republicant",42,85,114,53,108,107,6.61,5.3,5.44,9,5,7,1
168,57,"Blue","2nd","B",70000,"Curly","Republicant",57,110,85,69,87,101,7.8,6.26,6.63,9,8.4,8,7
169,27,"Pink","1st","B",107000,"Straight","Independone",57,120,83,70,93,104,5.71,4.22,4.98,9,6.2,11,3
170,22,"Pink","2nd","C",96000,"Straight","Democrulite",53,105,98,51,103,119,5.91,6.15,5.35,12,6.5,11,1
171,26,"Pink","1st","C",60000,"Straight","Democrulite",45,79,124,48,98,116,6.11,4.3,5.71,9,6.5,10,4
172,58,"Blue","3rd","C",25000,"Curly","Independone",55,108,92,72,101,123,9.37,9.35,7.97,5,6.8,9,2
173,26,"Pink","2nd","B",75000,"Straight","Democrulite",53,105,96,56,78,93,8.9,9.22,8.58,9,7.1,8,3
174,10,"Blue","3rd","D",37000,"Curly","Independone",49,107,95,68,100,122,4.01,2.02,3.84,12,6.3,4,2
175,16,"Blue","3rd","C",81000,"Straight","Democrulite",55,109,92,54,99,118,6.85,5.48,5.76,8,6,6,2
176,64,"Blue","1st","D",67000,"Straight","Democrulite",51,102,98,54,79,108,6.48,5.03,5.15,8,4.9,7,4
177,15,"Blue","3rd","C",44000,"Straight","Independone",53,93,104,42,93,112,4.15,2.3,3.13,4,7.1,10,4
178,36,"Pink","1st","D",34000,"Curly","Republicant",49,109,97,63,95,118,5.39,4.44,3.6,8,5.8,11,1
179,34,"Pink","3rd","C",33000,"Straight","Independone",52,106,96,46,81,107,7.81,7.52,7.97,8,6.5,9,3
180,63,"Pink","2nd","C",101000,"Curly","Independone",49,101,98,61,87,114,7.42,5.62,7.48,6,4.7,10,5
181,42,"Blue","1st","A",76000,"Curly","Republicant",49,99,101,49,91,98,8.35,8.7,8.66,8,5.8,9,1
182,22,"Pink","1st","D",31000,"Straight","Republicant",52,110,93,64,99,121,10,10.35,9.43,10,6.5,8,4
183,27,"Blue","3rd","A",154000,"Curly","Republicant",48,97,104,67,102,108,4.72,4.5,5.01,9,5,7,1
184,32,"Blue","2nd","B",22000,"Curly","Independone",49,105,95,57,86,97,6.15,4.38,6.03,11,5.9,10,1
185,32,"Pink","3rd","A",58000,"Straight","Democrulite",40,93,112,67,88,101,5.27,4.5,4.14,6,7.6,9,6
186,54,"Pink","1st","C",14000,"Straight","Democrulite",52,102,98,55,103,120,4.09,2.88,3.38,8,3.6,11,2
187,62,"Blue","1st","D",80000,"Straight","Republicant",50,99,101,57,84,111,8.9,8.33,9.21,9,7.5,8,2
188,50,"Pink","3rd","C",19000,"Curly","Democrulite",49,113,77,65,102,122,5.15,5.36,5.5,9,5.8,7,3
189,28,"Blue","2nd","B",23000,"Straight","Independone",42,68,149,79,111,115,4.53,4.98,4.55,4,6.2,10,1
190,37,"Blue","3rd","A",18000,"Straight","Republicant",46,90,115,74,110,114,5.75,3.78,5.87,4,7.2,5,1
191,62,"Pink","1st","B",111000,"Straight","Republicant",47,95,103,72,109,112,6.31,5.77,5.34,9,5.8,7,2
192,18,"Pink","2nd","A",71000,"Straight","Republicant",48,94,105,64,94,103,5.24,3.28,3.72,11,6.5,9,2
193,12,"Pink","3rd","A",136000,"Straight","Independone",55,109,92,62,97,104,5.59,5.62,5.55,9,4.3,5,1
194,27,"Pink","2nd","C",36000,"Straight","Democrulite",54,98,102,54,84,111,6.4,5.32,5.7,6,5.7,7,8
195,38,"Pink","3rd","A",31000,"Curly","Independone",56,114,93,56,85,96,11.72,10.9,11.07,9,7.3,9,1
196,65,"Pink","2nd","D",49000,"Straight","Democrulite",51,111,89,60,98,119,5.35,3.97,3.54,11,7.5,10,3
197,15,"Pink","1st","A",17000,"Straight","Democrulite",59,115,86,63,95,103,4.65,4.45,3.05,8,4.4,8,2
198,49,"Blue","1st","B",48000,"Curly","Democrulite",49,107,94,52,98,102,5.5,5.8,4.41,7,6.8,13,1
199,25,"Pink","1st","D",57000,"Straight","Republicant",55,102,96,68,107,125,8.74,8.87,8.26,9,4.5,11,4
200,30,"Pink","2nd","D",46000,"Straight","Democrulite",47,86,124,58,114,127,5.08,3.86,5.39,11,7.2,10,1
201,40,"Blue","1st","D",36000,"Straight","Democrulite",51,93,110,58,91,115,5.37,4.14,3.56,10,5.8,5,4
202,45,"Pink","2nd","C",16000,"Straight","Democrulite",56,109,96,64,92,117,7.06,7.14,6.44,10,4.8,7,1
203,23,"Pink","2nd","D",148000,"Straight","Democrulite",53,121,85,60,86,113,4.54,3.3,4.95,9,6.3,11,6
204,42,"Blue","3rd","A",77000,"Curly","Independone",51,104,95,74,91,104,5.07,4.37,3.56,10,6.7,8,2
205,61,"Blue","2nd","B",28000,"Curly","Democrulite",65,130,62,64,83,98,6.71,5.03,5.93,6,5.3,5,11
206,27,"Pink","2nd","D",50000,"Straight","Democrulite",48,113,94,77,97,123,3.74,3.31,2.39,8,6.1,11,1
207,19,"Pink","1st","D",159000,"Straight","Democrulite",44,86,122,47,100,117,4.17,3.14,4.26,9,5.8,10,3
208,52,"Pink","2nd","B",56000,"Straight","Democrulite",47,93,106,70,101,108,6.4,4.59,6.22,8,6.5,8,5
209,39,"Blue","2nd","B",26000,"Curly","Democrulite",54,118,94,56,99,104,13.54,13.43,12.36,8,5.4,7,3
210,38,"Pink","3rd","C",91000,"Straight","Independone",45,90,109,62,108,125,5.35,5.08,4.48,12,5.6,8,2
211,66,"Pink","2nd","C",183000,"Curly","Democrulite",57,98,102,58,73,106,6.53,6.77,6.43,8,4.3,9,4
212,38,"Blue","3rd","A",40000,"Straight","Independone",56,103,97,72,91,104,6.86,5.32,6.51,5,5,3,4
213,13,"Blue","3rd","C",89000,"Curly","Democrulite",52,104,94,61,98,119,3.86,4,3.75,7,4.7,11,3
214,49,"Pink","2nd","A",50000,"Straight","Democrulite",55,95,107,62,91,101,6.38,4.49,6.71,6,6.8,10,4
215,34,"Pink","3rd","B",76000,"Curly","Independone",47,101,99,56,90,99,9.41,8.84,8.87,7,5.4,11,3
216,45,"Pink","3rd","C",14000,"Straight","Independone",52,101,99,64,100,121,9.16,8.31,7.17,6,5.8,9,2
217,62,"Blue","3rd","C",40000,"Straight","Republicant",51,92,106,69,79,112,5.92,6.25,4.45,10,6.8,6,16
218,43,"Blue","1st","D",32000,"Curly","Republicant",46,84,124,65,101,122,15.78,15.51,13.84,9,6.5,6,1
219,32,"Blue","2nd","C",72000,"Curly","Democrulite",53,96,106,56,101,119,5.42,3.86,5.73,9,6.2,4,6
220,69,"Blue","3rd","B",69000,"Curly","Independone",50,110,92,60,110,110,7.72,6.26,7.25,4,5.3,6,1
221,54,"Blue","1st","D",92000,"Curly","Independone",48,104,98,67,98,121,10,8.09,10.11,10,5.5,10,3
222,53,"Pink","2nd","C",126000,"Straight","Democrulite",59,120,76,49,82,108,5.01,4.52,5.45,7,5.9,10,4
223,34,"Blue","3rd","C",53000,"Straight","Republicant",50,96,103,62,98,119,6.08,5.66,4.69,8,8,8,1
224,52,"Blue","2nd","D",152000,"Curly","Independone",46,110,91,52,82,109,6.8,5.61,4.81,10,6.3,10,4
225,64,"Pink","2nd","A",30000,"Straight","Independone",54,108,95,55,77,92,6.87,7,6.98,6,5.8,9,15
